Japan,1900,0
Japan,1901,24
Japan,1902,0
Japan,1905,177
Japan,1907,0
Japan,1909,2928
Japan,1910,0
Japan,1911,1266
Japan,1912,0
Japan,1914,1920
Japan,1917,0
Japan,1922,0
Japan,1923,203733
Japan,1925,9999
Japan,1926,0
Japan,1927,79540
Japan,1930,26122
Japan,1933,0
Japan,1934,0
Japan,1938,0
Japan,1939,1489
Japan,1943,23217
Japan,1944,80573
Japan,1945,1904231
Japan,1946,0
Japan,1947,0
Japan,1948,740153
Japan,1949,194046
Japan,1950,642117
Japan,1951,318534
Japan,1952,585
Japan,1953,2886760
Japan,1954,47049
Japan,1955,0
Japan,1956,0
Japan,1957,258240
Japan,1958,0
Japan,1959,1500000
Japan,1960,0
Japan,1961,1302249
Japan,1962,0
Japan,1963,0
Japan,1964,35376
Japan,1965,3030770
Japan,1966,13885
Japan,1967,3235
Japan,1968,2781
Japan,1969,0
Japan,1971,0
Japan,1972,0
Japan,1973,27
Japan,1974,123
Japan,1975,175
Japan,1976,325107
Japan,1977,23045
Japan,1978,22616
Japan,1979,28050
Japan,1980,17106
Japan,1981,82600
Japan,1982,176699
Japan,1983,30871
Japan,1984,9
Japan,1985,30200
Japan,1986,177358
Japan,1987,87662
Japan,1988,0
Japan,1989,0
Japan,1990,148366
Japan,1991,101148
Japan,1992,40466
Japan,1993,58140
Japan,1994,1912
Japan,1995,555687
Japan,1996,5741
Japan,1997,67015
Japan,1998,74027
Japan,1999,51477
Japan,2000,576783
Japan,2001,21287
Japan,2002,101047
Japan,2003,24484
Japan,2004,421619
Japan,2005,277871
Japan,2006,23936
Japan,2007,109222
Japan,2008,50921
Japan,2009,32838
Japan,2010,15000
Japan,2011,394615
Japan,2012,102288
Japan,2013,131028
Japan,2014,61075
Japan,2015,120946
Japan,2016,436528
Japan,2017,44799
Japan,2018,1602397
Japan,2019,538220
Japan,2020,250174
Japan,2021,40097
Japan,2022,41334
Japan,2023,10814
Japan,2024,33331
